"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","PEG","P/S","P/B","P/Free Cash Flow","Dividend","Dividend Yield","EPS (ttm)","EPS growth this year","EPS growth past 5 years","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Shares Outstanding","Shares Float","Float Short","Return on Equity","Current Ratio","Gross Margin","Operating Margin","Profit Margin","Performance (Half Year)","Performance (Year)","Performance (YTD)","52-Week High","Price","Change"
1325,"EWJ","iShares MSCI Japan ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.67,1.15%,,,,,,,,,,,,,,,,4.33%,-10.79%,6.65%,-11.40%,58.06,-1.14%
1326,"EWJV","iShares MSCI Japan Value ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.66,2.60%,,,,,,,,,,,,,,,,5.59%,-8.41%,4.35%,-10.12%,25.50,-1.16%
1327,"EWK","iShares MSCI Belgium ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.99,5.25%,,,,,,,,,,,,,,,,9.47%,-10.00%,4.92%,-11.27%,18.80,-1.34%
1328,"EWL","iShares MSCI Switzerland ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.86,1.90%,,,,,,,,,,,,,,,,3.87%,-9.93%,7.46%,-10.33%,45.06,-0.44%
1329,"EWM","iShares MSCI Malaysia ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.68,2.89%,,,,,,,,,,,,,,,,4.05%,-3.31%,3.55%,-8.93%,23.65,-0.96%
1330,"EWMC","Invesco S&P MidCap 400 Equal Weight ETF","Financial","Exchange Traded Fund","USA",,,,,,,1.07,1.13%,,,,,,,,,,,,,,,,10.28%,4.07%,13.11%,-0.97%,94.69,-0.48%
1331,"EWN","iShares MSCI Netherlands ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.74,1.72%,,,,,,,,,,,,,,,,11.95%,-9.11%,14.98%,-9.80%,42.82,-1.59%
1332,"EWO","iShares MSCI Austria ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.90,4.33%,,,,,,,,,,,,,,,,12.39%,-19.55%,9.84%,-23.13%,20.87,-1.88%
1333,"EWP","iShares MSCI Spain ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.74,2.73%,,,,,,,,,,,,,,,,19.35%,1.49%,12.74%,-1.66%,27.26,-1.45%
1334,"EWQ","iShares MSCI France ETF","Financial","Exchange Traded Fund","USA",,,,,,,1.07,2.88%,,,,,,,,,,,,,,,,15.80%,-3.71%,12.17%,-5.04%,37.15,-0.67%
1335,"EWRE","Invesco S&P 500 Equal Weight Real Estate ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.97,2.82%,,,,,,,,,,,,,,,,-3.57%,-13.92%,11.45%,-19.02%,34.27,-1.64%
1336,"EWS","iShares MSCI Singapore ETF","Financial","Exchange Traded Fund","USA",,,,,,,0.48,2.38%,,,,,,,,,,,,,,,,4.12%,-4.85%,7.44%,-10.42%,20.21,-0.93%
1337,"EWSC","Invesco S&P SmallCap 600 Equal Weight ETF","Financial","Exchange Traded Fund","USA",,,,,,,1.01,1.27%,,,,,,,,,,,,,,,,6.46%,1.24%,15.21%,-3.58%,79.72,-0.28%
1338,"EWT","iShares MSCI Taiwan ETF","Financial","Exchange Traded Fund","USA",,,,,,,2.37,5.25%,,,,,,,,,,,,,,,,-0.45%,-23.06%,12.20%,-24.64%,45.06,-1.81%
1339,"EWTX","Edgewise Therapeutics, Inc.","Healthcare","Biotechnology","USA",677.03,,,,1.54,,,,-1.21,-216.90%,,,,-28.40%,,63.21,62.66,4.76%,-21.30%,27.80,,,,5.91%,-19.42%,20.25%,-24.98%,10.75,-0.46%
